,queryNumber,tableId,queryContents,relevance,queryLength,queryStringLength,numCols,numRows,firstColHits,secondColHits,pageTitle_idf,sectionTitle_idf,tableCaption_idf,tableHeading_idf,tableBody_idf,all_idf,earlyWE,late-maxWE,late-avgWE,late-sumWE,cearly,cmax,csum,cavg,google_early,google_late_max,google_late_avg,google_late_sum
21,1,table-0216-970,world interest rates table,0,4,26,11,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7873,1.0,0.2904,25.5567,0.0331,0.1826,0.3651,0.0135,0.5568,1.0000,0.1390,12.2336
22,1,table-1391-8,world interest rates table,0,4,26,6,29,0,1,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7868,1.0,0.2691,82.887,0.0,0.0,0.0,0.0,0.5475,1.0000,0.1064,32.3346
23,1,table-0377-686,world interest rates table,0,4,26,1,1,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6279,1.0,0.2326,11.1653,0.0,0.0,0.0,0.0,0.3973,1.0000,0.1061,5.0941
24,1,table-0730-168,world interest rates table,0,4,26,8,16,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7958,1.0,0.3086,18.5171,0.0,0.0,0.0,0.0,0.5666,1.0000,0.1512,9.0739
25,1,table-0554-923,world interest rates table,0,4,26,2,1,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.815,1.0,0.3418,13.6701,0.0,0.0,0.0,0.0,0.6336,1.0000,0.1725,6.9005
26,1,table-0552-511,world interest rates table,0,4,26,3,1,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8111,1.0,0.3362,14.7949,0.0,0.0,0.0,0.0,0.6440,1.0000,0.1686,7.4206
27,1,table-1402-139,world interest rates table,0,4,26,10,5,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7731,1.0,0.3111,19.9084,0.0448,0.2041,0.2041,0.0113,0.5682,1.0000,0.1566,10.0210
28,1,table-0998-242,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6451,1.0,0.2183,10.4806,0.0,0.0,0.0,0.0,0.4692,1.0000,0.1286,5.1423
29,1,table-0533-191,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7099,1.0,0.2665,10.661,0.0,0.0,0.0,0.0,0.5224,1.0000,0.1487,5.3544
30,1,table-0507-876,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7226,1.0,0.2758,11.0339,0.0,0.0,0.0,0.0,0.5355,1.0000,0.1523,5.4815
31,1,table-0998-240,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6741,1.0,0.2421,12.5902,0.0,0.0,0.0,0.0,0.4700,1.0000,0.1299,6.2357
32,1,table-0998-43,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6658,1.0,0.2297,11.9425,0.0,0.0,0.0,0.0,0.4895,1.0000,0.1309,6.2812
33,1,table-0997-806,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6755,1.0,0.2366,12.3014,0.0,0.0,0.0,0.0,0.4771,1.0000,0.1239,5.9490
34,1,table-0424-979,world interest rates table,0,4,26,4,8,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7233,1.0,0.2312,58.2601,0.0,0.0,0.0,0.0,0.4703,1.0000,0.0891,20.3253
35,1,table-0464-505,world interest rates table,0,4,26,5,93,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.8134,1.0,0.256,151.5343,0.0415,0.125,0.1809,0.0101,0.5453,1.0000,0.1036,60.9387
36,1,table-1049-763,world interest rates table,0,4,26,6,13,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6875,1.0,0.2194,57.0526,0.0,0.0,0.0,0.0,0.4509,1.0000,0.0888,22.0301
37,1,table-0031-203,world interest rates table,0,4,26,6,32,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6161,1.0,0.1794,76.07600000000001,0.0,0.0,0.0,0.0,0.3694,1.0000,0.0762,29.5521
38,1,table-1049-718,world interest rates table,0,4,26,6,30,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6219,1.0,0.1808,76.6598,0.0,0.0,0.0,0.0,0.3775,1.0000,0.0769,29.8218
39,1,table-0168-741,world interest rates table,0,4,26,6,6,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6325,1.0,0.2172,16.5043,0.0,0.0,0.0,0.0,0.4715,1.0000,0.1286,9.2575
40,1,table-0060-37,world interest rates table,0,4,26,3,62,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6833,1.0,0.19899999999999998,110.65700000000001,0.0,0.0,0.0,0.0,0.4144,1.0000,0.0740,39.0901
41,1,table-1049-723,world interest rates table,0,4,26,6,15,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7192,1.0,0.2355,67.8253,0.0,0.0,0.0,0.0,0.4594,1.0000,0.0904,24.9382
42,1,table-0823-471,world interest rates table,0,4,26,6,28,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6423,1.0,0.1787,105.0577,0.0,0.0,0.0,0.0,0.4198,1.0000,0.0772,41.0897
43,1,table-1049-725,world interest rates table,0,4,26,6,37,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6606,1.0,0.185,134.6627,0.0,0.0,0.0,0.0,0.4192,1.0000,0.0755,50.4610
44,1,table-1462-893,world interest rates table,0,4,26,1,0,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7659,1.0,0.3094,17.3242,0.0,0.0,0.0,0.0,0.4869,1.0000,0.1183,6.6267
45,1,table-1049-749,world interest rates table,0,4,26,6,4,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7411,1.0,0.2614,30.3253,0.0,0.0,0.0,0.0,0.4815,1.0000,0.1037,12.0271
46,1,table-0749-810,world interest rates table,0,4,26,3,9,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7195,1.0,0.2441,26.364,0.0,0.0,0.0,0.0,0.4480,1.0000,0.1048,11.3193
47,1,table-1452-662,world interest rates table,0,4,26,8,17,0,1,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.3293,1.0,0.1042,31.2539,0.0,0.0,0.0,0.0,0.2492,1.0000,0.0570,14.1368
48,1,table-1470-745,world interest rates table,0,4,26,5,30,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6916,1.0,0.217,71.1731,0.0,0.0,0.0,0.0,0.4021,1.0000,0.0736,23.5678
49,1,table-1138-576,world interest rates table,0,4,26,2,6,0,1,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7144,1.0,0.2497,35.9553,0.0,0.0,0.0,0.0,0.4477,1.0000,0.0924,13.3023
50,1,table-0781-227,world interest rates table,0,4,26,2,7,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.733,1.0,0.2846,23.9026,0.0,0.0,0.0,0.0,0.5223,1.0000,0.1338,11.7773
51,1,table-1318-690,world interest rates table,0,4,26,1,3,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6436,1.0,0.2352,8.4658,0.0,0.0,0.0,0.0,0.5180,1.0000,0.1413,4.5209
52,1,table-1260-774,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.71,1.0,0.2853,13.696,0.0,0.0,0.0,0.0,0.5276,1.0000,0.1457,6.9931
53,1,table-0165-510,world interest rates table,0,4,26,8,118,0,2,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6875,1.0,0.1944,110.44,0.0,0.0,0.0,0.0,0.4170,1.0000,0.0740,39.9383
54,1,table-1266-875,world interest rates table,0,4,26,2,6,0,1,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7249,1.0,0.2438,33.1528,0.0,0.0,0.0,0.0,0.4661,1.0000,0.0969,13.1810
55,1,table-0914-103,world interest rates table,0,4,26,8,20,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.789,1.0,0.2873,31.0259,0.0,0.0,0.0,0.0,0.5677,1.0000,0.1239,13.3758
56,1,table-1248-402,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6959,1.0,0.2782,13.3549,0.0,0.0,0.0,0.0,0.5101,1.0000,0.1434,6.8842
57,1,table-0354-778,world interest rates table,0,4,26,2,8,0,2,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.7501,1.0,0.272,66.3723,0.0,0.0,0.0,0.0,0.4479,1.0000,0.0900,21.9646
58,1,table-0707-517,world interest rates table,0,4,26,2,2,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6572,1.0,0.2752,11.0099,0.0,0.0,0.0,0.0,0.5082,1.0000,0.1531,6.1245
59,1,table-0189-66,world interest rates table,0,4,26,2,8,0,0,26.8034,23.5642,23.166,34.7072,14.7947,13.7962,0.6411,1.0,0.2652,13.792,0.0,0.0,0.0,0.0,0.3775,1.0000,0.1179,6.1317
60,2,table-1578-197,2008 beijing olympics,2,3,21,6,1,1,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4884,1.0,0.2462,5.9094,0.0081,0.0788,0.0788,0.0033,0.4881,1.0000,0.1554,3.7305
61,2,table-1408-870,2008 beijing olympics,2,3,21,4,6,0,6,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4518,1.0,0.2299,5.9763,0.0,0.0,0.0,0.0,0.4045,1.0000,0.1352,3.5163
62,2,table-1408-871,2008 beijing olympics,2,3,21,4,12,0,12,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4766,1.0,0.2298,11.9517,0.0203,0.0767,0.0767,0.0032,0.4266,1.0000,0.1370,7.1217
63,2,table-1408-869,2008 beijing olympics,2,3,21,4,7,0,7,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5229,1.0,0.2644,9.5183,0.0305,0.0791,0.2181,0.0091,0.5240,1.0000,0.1913,6.8858
64,2,table-0517-363,2008 beijing olympics,1,3,21,7,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4616,1.0,0.1803,9.3752,0.21899999999999997,0.6594,1.0168,0.0847,0.4686,1.0000,0.1297,6.2263
65,2,table-0517-237,2008 beijing olympics,1,3,21,7,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4956,1.0,0.1854,8.5264,0.2088,0.6594,0.9927,0.0827,0.5459,1.0000,0.1617,7.1168
66,2,table-0620-231,2008 beijing olympics,1,3,21,9,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4686,1.0,0.1559,8.1064,0.2685,0.6594,1.1493,0.0958,0.5192,1.0000,0.1480,7.3976
67,2,table-0391-82,2008 beijing olympics,1,3,21,9,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5235,1.0,0.1754,9.4711,0.2267,0.6594,1.0304,0.0859,0.5580,1.0000,0.1592,7.6408
68,2,table-0092-846,2008 beijing olympics,1,3,21,7,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4574,1.0,0.1557,10.5881,0.1882,0.6594,0.8825,0.0735,0.4819,1.0000,0.1396,8.3764
69,2,table-0876-75,2008 beijing olympics,1,3,21,9,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5201,1.0,0.1861,8.9334,0.0774,0.1113,0.3634,0.0303,0.5872,1.0000,0.1559,6.8594
70,2,table-0346-771,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.49700000000000005,1.0,0.1992,6.7727,0.2626,0.6594,1.13,0.0942,0.5461,1.0000,0.1557,4.9827
71,2,table-0396-316,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4922,1.0,0.2093,7.1162,0.2487,0.6594,1.0863,0.0905,0.5875,1.0000,0.1681,5.7170
72,2,table-0396-314,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4998,1.0,0.2019,6.8654,0.2487,0.6594,1.0863,0.0905,0.5461,1.0000,0.1557,4.9827
73,2,table-0396-317,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4929,1.0,0.2013,6.8458,0.2487,0.6594,1.0863,0.0905,0.5461,1.0000,0.1557,4.9827
74,2,table-0396-315,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4684,1.0,0.196,6.6638,0.2487,0.6594,1.0863,0.0905,0.5307,1.0000,0.1512,5.1395
75,2,table-0395-845,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4934,1.0,0.2028,6.8938,0.2682,0.6594,1.146,0.0955,0.5461,1.0000,0.1557,4.9827
76,2,table-0552-593,2008 beijing olympics,1,3,21,7,3,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4994,1.0,0.19899999999999998,7.1628,0.2012,0.6594,0.9027,0.0752,0.5424,1.0000,0.1570,5.0243
77,2,table-0915-390,2008 beijing olympics,1,3,21,6,5,3,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6146,1.0,0.2505,10.520999999999999,0.0277,0.055,0.1949,0.0108,0.6888,1.0000,0.2306,9.2258
78,2,table-1038-905,2008 beijing olympics,1,3,21,7,2,0,2,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6738,1.0,0.3037,10.3265,0.0,0.0,0.0,0.0,0.6754,1.0000,0.2235,7.5990
79,2,table-1621-634,2008 beijing olympics,1,3,21,8,13,13,5,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4731,1.0,0.2096,9.6398,0.0477,0.0788,0.2602,0.0108,0.5497,1.0000,0.1662,7.6468
80,2,table-0398-518,2008 beijing olympics,1,3,21,8,27,12,6,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4906,1.0,0.2058,15.232000000000001,0.21600000000000003,0.6594,1.0058,0.0838,0.5483,1.0000,0.1446,10.4111
81,2,table-1600-861,2008 beijing olympics,1,3,21,13,3,0,1,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4839,1.0,0.2038,5.7055,0.4418,0.5477,3.8236,0.1593,0.5682,1.0000,0.1942,5.0496
82,2,table-0346-14,2008 beijing olympics,1,3,21,2,3,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4744,1.0,0.2454,5.8898,0.1455,0.6594,0.6594,0.0549,0.3856,1.0000,0.1404,3.3700
83,2,table-0331-42,2008 beijing olympics,1,3,21,3,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6088,1.0,0.3058,4.8934,0.0,0.0,0.0,0.0,0.7073,1.0000,0.2645,4.2313
84,2,table-1552-729,2008 beijing olympics,1,3,21,4,6,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.7574,1.0,0.3712,13.3617,0.0,0.0,0.0,0.0,0.7340,1.0000,0.2902,9.8676
85,2,table-0654-76,2008 beijing olympics,1,3,21,5,2,1,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5712,1.0,0.316,4.4246,0.0155,0.0578,0.0578,0.0048,0.5865,1.0000,0.2357,3.3003
86,2,table-0379-471,2008 beijing olympics,1,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.7043,1.0,0.3328,9.3177,0.2048,0.1768,0.9269,0.0772,0.7036,1.0000,0.2509,6.0221
87,2,table-0371-307,2008 beijing olympics,1,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6324,1.0,0.3327,6.6545,0.1603,0.6594,0.6594,0.0549,0.6806,1.0000,0.2497,4.9932
88,2,table-1047-58,2008 beijing olympics,1,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6549,1.0,0.3164,6.9605,0.0805,0.1061,0.4305,0.0359,0.6417,1.0000,0.2481,4.4666
89,2,table-1564-439,2008 beijing olympics,1,3,21,5,4,0,1,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4884,1.0,0.2262,8.5956,0.0655,0.1369,0.4188,0.0175,0.5292,1.0000,0.1620,6.1568
90,2,table-0406-134,2008 beijing olympics,1,3,21,5,26,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5565,1.0,0.2134,13.6553,0.0072,0.0788,0.0788,0.0033,0.5129,1.0000,0.1698,9.8511
91,2,table-0223-565,2008 beijing olympics,1,3,21,5,3,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.7017,1.0,0.3201,8.964,0.0806,0.1594,0.3886,0.0162,0.6784,1.0000,0.2739,7.1219
92,2,table-0386-945,2008 beijing olympics,1,3,21,6,4,2,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5894,1.0,0.2499,9.4978,0.0,0.0,0.0,0.0,0.6909,1.0000,0.2278,8.6566
93,2,table-0562-150,2008 beijing olympics,1,3,21,5,5,2,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4849,1.0,0.1982,10.7041,0.1878,0.5057,0.8506,0.0709,0.5152,1.0000,0.1549,7.7462
94,2,table-0899-793,2008 beijing olympics,1,3,21,5,4,0,2,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6123,1.0,0.2568,11.8126,0.0118,0.0426,0.0426,0.0035,0.6774,1.0000,0.2299,9.6552
95,2,table-1408-874,2008 beijing olympics,1,3,21,5,6,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6236,1.0,0.3062,11.0215,0.0,0.0,0.0,0.0,0.6342,1.0000,0.2217,7.9800
96,2,table-0367-57,2008 beijing olympics,0,3,21,9,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4698,1.0,0.1844,6.6388,0.2326,0.6594,1.0378,0.0865,0.5405,1.0000,0.1554,5.2828
97,2,table-0530-747,2008 beijing olympics,0,3,21,7,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5837,1.0,0.2153,12.4898,0.2477,0.6594,1.0786,0.0899,0.6079,1.0000,0.1842,9.5784
98,2,table-0891-125,2008 beijing olympics,0,3,21,7,5,5,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5548,1.0,0.1981,9.9026,0.2001,0.6594,0.9234,0.077,0.5991,1.0000,0.1818,8.7266
99,2,table-0938-613,2008 beijing olympics,0,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6828,1.0,0.3571,7.1412,0.0,0.0,0.0,0.0,0.7099,1.0000,0.2555,5.1108
100,2,table-1064-455,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.4798,1.0,0.22399999999999998,4.9288,0.0,0.0,0.0,0.0,0.4966,1.0000,0.1671,3.6764
101,2,table-0384-730,2008 beijing olympics,0,3,21,4,3,1,1,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5588,1.0,0.267,3.2038,0.1759,0.7338,1.7859,0.0744,0.5988,1.0000,0.2378,2.8532
102,2,table-1064-381,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5083,1.0,0.237,5.688,0.0,0.0,0.0,0.0,0.5601,1.0000,0.1896,4.5498
103,2,table-1047-143,2008 beijing olympics,0,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5694,1.0,0.2791,6.6985,0.1073,0.1061,0.5406,0.045,0.6039,1.0000,0.2052,4.5136
104,2,table-1047-140,2008 beijing olympics,0,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6188,1.0,0.3056,7.3334,0.1341,0.1414,0.7195,0.06,0.6371,1.0000,0.2413,5.3086
105,2,table-1047-153,2008 beijing olympics,0,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5922,1.0,0.3038,7.291,0.0,0.0,0.0,0.0,0.6036,1.0000,0.2264,4.9817
106,2,table-0938-612,2008 beijing olympics,0,3,21,5,1,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6828,1.0,0.3571,7.1412,0.0,0.0,0.0,0.0,0.7099,1.0000,0.2555,5.1108
107,2,table-1064-402,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5954,1.0,0.2509,8.0275,0.0,0.0,0.0,0.0,0.6031,1.0000,0.2139,6.8464
108,2,table-1064-384,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5344,1.0,0.257,7.1956,0.0,0.0,0.0,0.0,0.6159,1.0000,0.2198,6.1538
109,2,table-1064-451,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5359,1.0,0.2437,6.8229999999999995,0.0,0.0,0.0,0.0,0.5894,1.0000,0.1971,5.5184
110,2,table-1064-388,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5653,1.0,0.2309,7.8507,0.0,0.0,0.0,0.0,0.6435,1.0000,0.2210,7.0709
111,2,table-0938-969,2008 beijing olympics,0,3,21,5,2,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5588,1.0,0.2717,6.5212,0.21,0.2725,0.9563,0.0797,0.6038,1.0000,0.1913,4.2078
112,2,table-1064-447,2008 beijing olympics,0,3,21,6,5,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.5489,1.0,0.2514,7.0399,0.0,0.0,0.0,0.0,0.5863,1.0000,0.1987,5.5622
113,2,table-1629-769,2008 beijing olympics,0,3,21,5,16,0,0,21.6222,22.5912,22.5912,23.4634,19.3902,19.2569,0.6291,1.0,0.2368,26.9929,0.0076,0.0246,0.0246,0.0021,0.6587,1.0000,0.1967,20.4613
